Categoria,Descripcion,Cantidad
Distribucion por Genero,M,6884810
Distribucion por Genero,F,7879043
Distribucion por Genero,S.I.,31848
Distribucion por Genero,X,138
Distribucion por Genero,MASCULINO,1
Distribucion por Genero,FEMENINO,1
Vacunas Aplicadas por Tipo,Sinopharm,9.28%
Vacunas Aplicadas por Tipo,Moderna ARNm 020 mg mL,32.06%
Vacunas Aplicadas por Tipo,Pfizer,31.84%
Vacunas Aplicadas por Tipo,Sputnik,6.58%
Vacunas Aplicadas por Tipo,Moderna Bivariante BA 4 5,3.80%
Vacunas Aplicadas por Tipo,AstraZeneca,6.82%
Vacunas Aplicadas por Tipo,Pfizer Pediátrica,1.42%
Vacunas Aplicadas por Tipo,Moderna 010 mg mL,2.03%
Vacunas Aplicadas por Tipo,Cansino,1.91%
Vacunas Aplicadas por Tipo,Pfizer Bivariante BA 4 5,4.15%
Vacunas Aplicadas por Tipo,Sputnik Light,0.08%
Vacunas Aplicadas por Tipo,Moderna,0.04%
Vacunas Aplicadas por Tipo,COVISHIELD,0.01%
Vacunas Aplicadas por Tipo,ARVAC,0.00%
Dosis por Jurisdiccion de Residencia,Buenos Aires,5426007 dosis
Dosis por Jurisdiccion de Residencia,La Pampa,113308 dosis
Dosis por Jurisdiccion de Residencia,Salta,410901 dosis
Dosis por Jurisdiccion de Residencia,Santiago del Estero,275400 dosis
Dosis por Jurisdiccion de Residencia,Córdoba,1014291 dosis
Dosis por Jurisdiccion de Residencia,Entre Ríos,401420 dosis
Dosis por Jurisdiccion de Residencia,Río Negro,228555 dosis
Dosis por Jurisdiccion de Residencia,Tucumán,434791 dosis
Dosis por Jurisdiccion de Residencia,La Rioja,121807 dosis
Dosis por Jurisdiccion de Residencia,CABA,1581617 dosis
Dosis por Jurisdiccion de Residencia,Formosa,200303 dosis
Dosis por Jurisdiccion de Residencia,Santa Fe,1373198 dosis
Dosis por Jurisdiccion de Residencia,Neuquén,267428 dosis
Dosis por Jurisdiccion de Residencia,Mendoza,608624 dosis
Dosis por Jurisdiccion de Residencia,Jujuy,289497 dosis
Dosis por Jurisdiccion de Residencia,San Juan,181513 dosis
Dosis por Jurisdiccion de Residencia,San Luis,188923 dosis
Dosis por Jurisdiccion de Residencia,Chaco,321202 dosis
Dosis por Jurisdiccion de Residencia,Catamarca,176032 dosis
Dosis por Jurisdiccion de Residencia,Misiones,231147 dosis
